id,date,time,application
32,18/02/2026,280.22321972892763,car
33,18/02/2026,289.3999453237152,car
34,19/02/2026,282.15379665878294,car
35,19/02/2026,314.62916357040405,car
36,19/02/2026,336.8085376712036,car
37,19/02/2026,315.4602458901215,car
38,19/02/2026,292.18620279136655,car
39,20/02/2026,294.7453103779602,car
40,20/02/2026,274.1495590280914,car
41,20/02/2026,319.32008482818605,car
42,20/02/2026,272.7746591055298,car
43,20/02/2026,254.6211013789368,car
44,23/02/2026,305.90533713005067,car
45,20/02/2026,283.96800394256593,car
47,23/02/2026,279.01079753379827,car
51,23/02/2026,289.9133274569702,car
52,23/02/2026,326.82589688301084,car
54,24/02/2026,309.24540367660524,car
55,24/02/2026,328.3001215603638,car
56,24/02/2026,278.75042384910586,car
57,24/02/2026,255.07992777542117,car
58,24/02/2026,220.6787754335022,car
59,24/02/2026,225.7963924420929,car
61,24/02/2026,274.5819086645508,car
63,24/02/2026,254.3227444669342,car
65,24/02/2026,315.61579163787843,car
67,25/02/2026,281.487819535141,car
72,02/03/2026,280.50481877075197,car
74,02/03/2026,304.07236745666506,car
85,10/03/2026,326.77752055351255,car
38,27/02/2026,344.5094716658783,lego
40,27/02/2026,358.4743162998199,lego
43,27/02/2026,341.6108583241272,lego
68,27/02/2026,304.19948146362304,lego
70,02/03/2026,376.06793669296263,lego
72,02/03/2026,342.5499525462341,lego
74,02/03/2026,351.10039889526365,lego
76,03/03/2026,330.2484698487091,lego
79,04/03/2026,350.84272620368955,lego
80,04/03/2026,377.09585396316527,lego
81,10/03/2026,445.0548469502258,lego
82,10/03/2026,454.2478686405945,lego
83,10/03/2026,415.5809419359589,lego
84,10/03/2026,441.9240705023956,lego
86,10/03/2026,438.5481908150482,lego
